Chemical formula,Band gap,Crystallinity
NiS,0.01,Single crystalline
Ge,0.889,Single crystalline
Bi2O3,2.6,Polycrystalline
ReSe2,0.99,Polycrystalline
GaAs,1.43,Single crystalline
Er2O3,1.4,Polycrystalline
Bi2S3,1.4,Single crystalline
Nd2S3,3,Single crystalline
SiTe2,1.85,Single crystalline
EuO,4.3,Polycrystalline
Fe2O3,2.34,Polycrystalline
GaTe,1.67,Single crystalline
Tb4O7,0.4,
BeO,11.6,
InSb,0.17,Single crystalline
MgF2,10.8,Single crystalline
Tl2Te,0.5,Polycrystalline
RbCl,8.2,Single crystalline
BiSb,0.023,
Bi2Se3,0.21,Single crystalline
OsTe2,0.3,Polycrystalline
As2S3,1.89,Amorphous
GaSe,2.01,Single crystalline
SmB6,4.9,Single crystalline
As2S5,2.01,Amorphous
PtSb2,0.112,Single crystalline
ZnP2,2.03,Single crystalline
SiAs,2.2,Single crystalline
Sc2O3,1.7,Polycrystalline
Na3Sb,2.2,Polycrystalline
BeTe,2.89,
CdS,2.41,Single crystalline
PbO,2,Polycrystalline
Sn,0.08,Single crystalline
GaSb,0.812,Single crystalline
HgTe,0.266,Single crystalline
PbSe,0.31,Single crystalline
YbS,0.33,Polycrystalline
SiO2,11,Single crystalline
PbTe,0.32,Single crystalline
As2Te3,0.48,Single crystalline
GaSe,2.1,Single crystalline
PbI2,2.32,Single crystalline
PtS,0.8,Single crystalline
Cr2O3,1.59,Single crystalline
Sb2Se3,1.1,Single crystalline
GaN,3.24,Single crystalline
EuN,1.47,
MnS,6,Single crystalline
LaF3,6.6,Single crystalline
SiSe2,1.74,Single crystalline
Hg2Cl2,3.5,Single crystalline
HgI2,2.35,Single crystalline
CdSb,0.45,Single crystalline
Te,0.32,Single crystalline
Mg3Bi2,0.1,Polycrystalline
PbS,0.307,Single crystalline
As2S3,2.23,Amorphous
Cd3As2,0.13,Single crystalline
SnI2,2.4,Polycrystalline
FeP2,0.4,Polycrystalline
Al2O3,9.5,Single crystalline
ZrS2,0.85,Polycrystalline
CdP2,2.02,Single crystalline
KBr,8,Polycrystalline
CI4,2.26,Polycrystalline
ZnO,3.26,Single crystalline
InN,2.4,
NaCl,8.6,Single crystalline
AgCl,5.1,
CdTe,1.517,Single crystalline
AlAs,2.1,Single crystalline
KF,10.3,Single crystalline
SeTe,0.64,Single crystalline
PbS,0.286,Single crystalline
AgCl,3.25,Single crystalline
Zn3As2,0.51,Polycrystalline
Cs3Sb,1.6,Polycrystalline
TlBr,3.1,Single crystalline
NdAs,1.04,Polycrystalline
BiI3,1.922,Single crystalline
PtP2,0.6,
TmAs,1.18,Polycrystalline
SnSe,0.9,Polycrystalline
Bi,0.015,Single crystalline
Nd2O3,0.97,Polycrystalline
La2Se3,1.7,Polycrystalline
LiI,5.62,Polycrystalline
CsBr,6.8,Polycrystalline
La3Te4,0.43,Single crystalline
Cs3Sb,2.25,Polycrystalline
ZnS,3.88,Single crystalline
SrTe,3.77,Single crystalline
RuSb2,0.3,Polycrystalline
RbCl,8.1,Single crystalline
IrS2,0.9,
PrTe2,1.288,Single crystalline
SnO2,3.947,Single crystalline
ZnTe,2.35,Single crystalline
Yb2O3,2.99,Polycrystalline
PbS,0.41,Single crystalline
UO,1.5,Polycrystalline
MoS2,1.89,Single crystalline
YN,1.9,Polycrystalline
